N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
425,2,1,1,,,,,,,,,,,
426,2,1,1,,,,,,,,,,,
427,2,1,1,,,,,,,,,,,
428,2,2,,2,,,,,,,,,,
429,2,2,,2,,,,,,,,,,
430,2,2,,2,,,,,,,,,,
431,2,2,,2,,,,,,,,,,
432,2,2,,2,,,,,,,,,,
433,2,2,,2,,,,,,,,,,
434,2,2,,2,,,,,,,,,,
435,0,2,,2,,,,,,,,,,
436,5,7,,5,,,,,,,,,,
437,2,2,,2,,,,,,,,,,
438,2,2,,2,,,,,,,,,,
439,2,2,,2,,,,,,,,,,
440,2,2,,2,,,,,,,,,,
441,2,2,,2,,,,,,,,,,
442,0,0,0,50,,,,,,,,,,
443,0,0,0,,,,,,,,,,,
444,,1,1,3,,,,,,,,,,
445,,1,1,3,,,,,,,,,,
446,,1,1,3,,,,,,,,,,
447,,1,1,3,,,,,,,,,,
448,,1,1,3,,,,,,,,,,
449,,1,1,3,,,,,,,,,,
450,,1,1,3,,,,,,,,,,
451,,1,1,3,,,,,,,,,,
452,,1,1,3,,,,,,,,,,
453,,1,1,3,,,,,,,,,,
454,,1,1,3,,,,,,,,,,
455,,1,1,3,,,,,,,,,,
456,,1,1,3,,,,,,,,,,
457,,1,1,3,,,,,,,,,,
458,,1,1,3,,,,,,,,,,
459,,1,1,3,,,,,,,,,,
460,,1,1,3,,,,,,,,,,
461,,1,1,3,,,,,,,,,,
462,,1,1,3,,,,,,,,,,
463,,1,1,3,,,,,,,,,,
464,,1,1,3,,,,,,,,,,
465,,1,1,3,,,,,,,,,,
466,,1,1,3,,,,,,,,,,
467,,1,1,3,,,,,,,,,,
468,,1,1,3,,,,,,,,,,
469,,1,1,3,,,,,,,,,,
470,,1,1,3,,,,,,,,,,
471,,1,1,3,,,,,,,,,,
472,,1,1,3,,,,,,,,,,
473,,1,1,3,,,,,,,,,,
474,,1,1,3,,,,,,,,,,
475,,1,1,3,,,,,,,,,,
476,,1,1,3,,,,,,,,,,
477,,1,1,3,,,,,,,,,,
478,,1,1,3,,,,,,,,,,
479,,1,1,3,,,,,,,,,,
480,,1,1,3,,,,,,,,,,
481,,1,1,3,,,,,,,,,,
482,,1,6,2,,,,,,,,,,
483,,2,6,2,,,,,,,,,,
484,,1,1,,,,,,,,,,,
485,,1,1,,,,,,,,,,,
486,,1,1,2,,,,,,,,,,
487,,1,6,2,,,,,,,,,,
488,,1,1,2,,,,,,,,,,
489,,1,1,2,,,,,,,,,,
490,,1,1,2,,,,,,,,,,
491,,2,5,,,,,,,,,,,
492,,2,1,2,,,,,,,,,,
493,,2,1,2,,,,,,,,,,
494,,2,5,,,,,,,,,,,
495,,4,6,2,,,,,,,,,,
496,,1,6,2,,,,,,,,,,
497,,2,1,2,,,,,,,,,,
498,,2,5,2,,,,,,,,,,
499,,2,5,,,,,,,,,,,
500,,2,2,2,,,,,,,,,,
501,,3,5,2,,,,,,,,,,
502,,3,,,,,,,,,,,,
503,,2,3,2,,,,,,,,,,
504,,2,3,2,,,,,,,,,,
505,,2,2,2,,,,,,,,,,
506,,3,,0,,,,,,,,,,
507,,4,2,2,,,,,,,,,,
508,,3,5,2,,,,,,,,,,
509,,3,5,,,,,,,,,,,
510,,6,5,2,,,,,,,,,,
511,,4,5,2,,,,,,,,,,
512,,2,5,2,,,,,,,,,,
513,,4,5,2,,,,,,,,,,
514,,4,5,0,,,,,,,,,,
515,,2,5,0,,,,,,,,,,
516,,3,5,0,,,,,,,,,,
517,,2,5,0,,,,,,,,,,
518,,2,5,0,,,,,,,,,,
519,,2,5,0,,,,,,,,,,
520,,2,5,0,,,,,,,,,,
521,,2,5,0,,,,,,,,,,
522,,1,1,2,,,,,,,,,,
523,,1,1,2,,,,,,,,,,
524,,1,1,2,,,,,,,,,,
525,,1,1,2,,,,,,,,,,
526,,1,1,2,,,,,,,,,,
527,,1,1,2,,,,,,,,,,
528,,1,1,2,,,,,,,,,,
529,,1,1,2,,,,,,,,,,
530,,1,1,2,,,,,,,,,,
531,,1,1,2,,,,,,,,,,
532,,1,1,2,,,,,,,,,,
533,,1,1,2,,,,,,,,,,
534,,1,1,2,,,,,,,,,,
535,,1,1,2,,,,,,,,,,
536,,1,1,2,,,,,,,,,,
537,,1,1,2,,,,,,,,,,
538,,2,,,,,,,,,,,,
539,,3,5,2,,,,,,,,,,
540,,2,5,2,,,,,,,,,,
541,,5,5,2,,,,,,,,,,
542,,2,5,3,,,,,,,,,,
543,,2,6,3,,,,,,,,,,
544,,1,6,2,,,,,,,,,,
545,,1,2,2,,,,,,,,,,
546,,1,2,2,,,,,,,,,,
547,,1,2,2,,,,,,,,,,
548,,2,2,2,,,,,,,,,,
549,,2,2,0,,,,,,,,,,
